"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"ABB India","ABB","Strong Sell","Strong Sell","Neutral","Neutral"
"ACC","ACC","Neutral","Strong Buy","Buy","Neutral"
"Adani","APSE","Strong Sell","Strong Sell","Strong Sell","Sell"
"Adani Enterprises","ADEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Adani Power","ADAN","Sell","Strong Buy","Strong Buy","Buy"
"Aditya Birla Fashion","ADIA","Strong Sell","Buy","Strong Buy","Strong Buy"
"AIA Engineering","AIAE","Buy","Strong Sell","Sell","Strong Buy"
"Ajanta Pharma Ltd","AJPH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alkem Laboratories Ltd","ALKE","Strong Buy","Strong Sell","Strong Sell","Neutral"
"Amara Raja Batteries","AMAR","Strong Sell","Sell","Strong Sell","Strong Sell"
"Ambuja Cements","ABUJ","Sell","Buy","Neutral","Strong Sell"
"Apollo Hospitals","APLH","Neutral","Strong Buy","Strong Buy","Neutral"
"Apollo Tyres","APLO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Arvind","ARVN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Ashok Leyland","ASOK","Strong Sell","Neutral","Strong Sell","Neutral"
"Asian Paints","ASPN","Strong Sell","Neutral","Sell","Strong Buy"
"AU Small Finance Bank","AUFI","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Aurobindo Pharma","ARBN","Strong Sell","Buy","Strong Buy","Strong Buy"
"Avenue Supermarts","AVEU","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"AXIS Bank","AXBK","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Bajaj Auto","BAJA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bajaj Finance","BJFN","Strong Sell","Sell","Sell","Strong Buy"
"Bajaj Finserv","BJFS","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Balkrishna Industries","BLKI","Strong Sell","Strong Sell","Strong Sell","Buy"
"Bank Of Baroda","BOB","Sell","Strong Sell","Strong Sell","Strong Sell"
"Bank of India","BOI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bata India","BATA","Strong Sell","Sell","Neutral","Strong Buy"
"Berger Paints","BRGR","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Bharat Electronics","BAJE","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Bharat Financial","BHAF","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Bharat Forge","BFRG","Strong Sell","Strong Sell","Strong Sell","Sell"
"Bharat Heavy Electricals","BHEL","Strong Sell","Neutral","Neutral","Strong Sell"
"Bharat Petroleum","BPCL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bharti Airtel","BRTI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bharti Infratel","BHRI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Biocon","BION","Strong Buy","Neutral","Buy","Strong Buy"
"Bosch","BOSH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Britannia Industries","BRIT","Strong Sell","Strong Sell","Sell","Strong Buy"
"Cadila Healthcare","CADI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Canara Bank","CNBK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Castrol India","CAST","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CBI","CBI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Century Textiles","CNTY","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cholamandalam","CHLA","Strong Sell","Strong Sell","Strong Sell","Sell"
"Cipla","CIPL","Sell","Neutral","Neutral","Strong Buy"
"Coal India","COAL","Strong Buy","Strong Buy","Neutral","Neutral"
"Colgate-Palmolive","COLG","Strong Sell","Sell","Strong Sell","Neutral"
"Container India","CCRI","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Coromandel Int","CORF","Buy","Neutral","Strong Sell","Sell"
"CRISIL","CRSL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Crompton Greaves Consumer Electricals Ltd","CROP","Strong Sell","Strong Sell","Strong Sell","Sell"
"Cummins","CUMM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Dabur India","DABU","Strong Sell","Strong Sell","Sell","Strong Buy"
"Dalmia Bharat","DALA","Strong Sell","Strong Sell","Strong Sell","Sell"
"Dewan Housing","DWNH","Strong Sell","Strong Sell","Strong Sell","Sell"
"Dish TV India","DSTV","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Divi's Labs","DIVI","Neutral","Neutral","Strong Buy","Strong Buy"
"DLF","DLF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Dr Lal PathLabs Ltd","DLPA","Strong Sell","Sell","Neutral","Strong Buy"
